Fiscal Year,Claim Number,Date of Claim,Company Code,Event Date Reported,BI Reserve,BI Paid,BI Collection,PD Reserve,PD Paid,PD Collection,Expense Reserve,Expense Paid,Expense Collection,Incurred Sum,CSH O/C Status Code
1999,000100175,1999-05-24,0003,2000-01-07,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,407.00,0.00,5407.00,C
1999,000100231,1999-05-11,0003,2000-01-11,0.00,0.00,0.00,0.00,451.00,0.00,0.00,0.00,0.00,451.00,C
1999,000100327,1998-09-23,0003,2000-01-14,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,15314.39,0.00,45314.39,C
1999,000100516,1998-12-23,0003,1998-12-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1133.39,0.00,1133.39,C
1999,000200757,1999-04-22,0003,2000-02-10,0.00,0.00,0.00,0.00,1675.00,0.00,0.00,0.00,0.00,1675.00,C
1999,000200786,1999-05-24,0003,2000-02-14,0.00,0.00,0.00,0.00,271.10,0.00,0.00,0.00,0.00,271.10,C
1999,000301343,1999-03-04,0003,2000-03-20,0.00,0.00,0.00,0.00,1790.74,0.00,0.00,0.00,0.00,1790.74,C
1999,000301482,1999-03-22,0003,1999-04-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,629.85,0.00,629.85,C
1999,000502036,1998-09-09,0003,1998-09-09,0.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2500.00,C
1999,000502230,1999-03-08,0003,2000-05-18,0.00,0.00,0.00,0.00,615.25,0.00,0.00,0.00,0.00,615.25,C
1999,000703129,1998-11-19,0003,2000-07-20,0.00,0.00,0.00,0.00,0.00,0.00,5997.44,9127.42,48.00,15076.86,O
1999,001004721,1999-02-16,0003,2000-10-24,0.00,0.00,0.00,0.00,522.06,0.00,0.00,0.00,0.00,522.06,C
1999,001104821,1998-11-17,0003,2000-10-26,0.00,0.00,0.00,0.00,376.53,0.00,0.00,0.00,0.00,376.53,C
1999,001104834,1998-11-08,0003,2000-11-07,0.00,0.00,0.00,0.00,1340.43,0.00,0.00,0.00,0.00,1340.43,C
1999,001104973,1998-10-28,0003,2000-11-08,0.00,0.00,0.00,0.00,876.17,0.00,0.00,0.00,0.00,876.17,C
1999,001205648,1999-04-07,0003,2000-12-12,15000.00,0.00,0.00,0.00,0.00,0.00,6965.75,10991.19,0.00,32956.94,O
1999,010301766,1999-02-22,0003,2001-03-12,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,11441.66,0.00,31441.66,C
1999,010603054,1999-05-27,0003,2001-06-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1086.68,0.00,1086.68,C
1999,010603294,1999-04-13,0003,2001-06-19,0.00,0.00,0.00,0.00,1601.85,0.00,0.00,0.00,0.00,1601.85,C
1999,010703638,1999-05-04,0003,2001-07-09,0.00,0.00,0.00,0.00,749.50,0.00,0.00,0.00,0.00,749.50,C
1999,011005850,1998-09-15,0003,1998-09-15,8750.00,6250.00,0.00,0.00,0.00,0.00,7652.83,2347.17,0.00,25000.00,O
1999,980603155,1998-06-01,0003,1998-06-01,0.00,0.00,0.00,0.00,319.02,0.00,0.00,0.00,0.00,319.02,C
1999,980603157,1998-06-01,0003,1998-06-03,0.00,51.95,0.00,0.00,0.00,0.00,0.00,519.97,0.00,571.92,C
1999,980603165,1998-06-01,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,0.00,97.00,C
1999,980603167,1998-06-01,0003,1998-06-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603168,1998-06-01,0003,1998-06-03,0.00,0.00,0.00,0.00,650.71,0.00,0.00,0.00,0.00,650.71,C
1999,980603172,1998-06-01,0003,1998-06-03,388000.00,1576494.35,0.00,31.00,11190.20,31.00,6260.79,93023.79,0.00,2074969.13,O
1999,980603173,1998-06-01,0003,1998-06-03,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,2572.08,0.00,12572.08,C
1999,980603174,1998-06-01,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603175,1998-06-02,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603178,1998-06-03,0003,1998-06-03,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,1200.00,C
1999,980603179,1998-06-03,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603185,1998-06-01,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,967.91,0.00,967.91,C
1999,980603188,1998-06-02,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1102.66,0.00,1102.66,C
1999,980603193,1998-06-01,0003,1998-06-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.59,0.00,254.59,C
